Day new_cases months
0 26 March
1 4 March
2 23 March
3 14 March
4 22 March
5 50 March
6 92 March
7 45 March
8 108 March
9 51 March
10 87 March
11 88 March
12 140 March
13 84 March
14 106 March
15 227 March
16 146 March
17 437 April
18 235 April
19 478 April
20 525 April
21 505 April
22 704 April
23 508 April
24 485 April
25 591 April
26 896 April
27 768 April
28 918 April
29 905 April
30 1463 April
31 1118 April
32 826 April
33 1076 April
34 957 April
35 1324 April
36 1540 April
37 1329 April
38 1486 April
39 1229 April
40 1752 April
41 1490 April
42 1975 April
